ID,loan_purpose,borrower_employment_length,borrower_age,borrower_home_ownership,borrower_income,loan_rating,loan_amount,loan_rate,loan_status,loan_to_income_percent,cb_person_default_on_file,cb_person_cred_hist_length,rem_term
2357,PERSONAL,6,24,RENT,40000,C,2500,15.27,0,0.06,N,3,36
2358,MEDICAL,3,25,RENT,40000,B,2500,9.99,0,0.06,N,3,36
2359,DEBTCONSOLIDATION,0,23,RENT,40000,B,2500,6.03,0,0.06,N,2,36
2360,DEBTCONSOLIDATION,8,25,MORTGAGE,32000,A,5600,7.9,0,0.17,N,3,36
2361,HOMEIMPROVEMENT,2,22,RENT,34000,C,2500,13.57,1,0.07,Y,3,36
2362,MEDICAL,6,22,RENT,35500,D,2500,15.62,1,0.07,N,2,36
2363,HOMEIMPROVEMENT,2,24,RENT,36000,D,2500,16.77,1,0.07,N,3,60
2364,MEDICAL,5,21,RENT,42000,B,2500,9.99,0,0.06,N,2,60
2365,EDUCATION,0,22,MORTGAGE,32000,A,1700,7.9,0,0.05,N,4,36
2366,EDUCATION,0,23,RENT,42000,B,2500,11.49,0,0.06,N,2,60
2367,EDUCATION,4,23,RENT,42000,C,2500,13.61,0,0.06,N,4,36
2368,VENTURE,0,22,RENT,42000,C,2500,13.92,0,0.06,Y,3,36
2369,MEDICAL,4,25,RENT,36228,A,2500,7.66,1,0.07,N,2,36
2370,PERSONAL,4,21,MORTGAGE,32000,B,2500,11.71,1,0.08,N,3,36
2371,DEBTCONSOLIDATION,0,21,RENT,42500,B,2500,16.35,0,0.06,N,2,36
2372,EDUCATION,3,26,RENT,43000,C,2500,13.49,0,0.06,N,2,60
2373,HOMEIMPROVEMENT,2,22,RENT,37000,D,2500,17.49,1,0.07,N,3,36
2374,MEDICAL,5,25,RENT,45000,B,2500,12.69,0,0.06,N,4,36
2375,MEDICAL,,21,MORTGAGE,32000,A,8000,5.99,0,0.25,N,3,36
2376,HOMEIMPROVEMENT,5,24,MORTGAGE,32000,A,6000,5.42,0,0.19,N,4,36
2377,EDUCATION,4,23,MORTGAGE,32000,A,2000,5.99,0,0.06,N,2,36
2378,MEDICAL,5,22,RENT,45000,C,2500,14.35,0,0.06,Y,2,36
2379,DEBTCONSOLIDATION,10,26,RENT,46000,A,2500,8.49,0,0.05,N,4,60
2380,DEBTCONSOLIDATION,1,26,RENT,46500,C,2500,14.72,0,0.05,Y,3,36
2381,MEDICAL,9,26,RENT,47004,D,2500,15.65,0,0.05,Y,3,36
2382,EDUCATION,3,22,MORTGAGE,32000,A,6000,8.49,0,0.19,N,2,36
2383,EDUCATION,4,24,RENT,48000,C,2500,13.35,0,0.05,N,4,36
2384,MEDICAL,7,22,RENT,49500,C,2500,14.27,0,0.05,Y,2,36
2385,EDUCATION,4,26,MORTGAGE,32000,A,4900,5.99,0,0.15,N,3,36
2386,EDUCATION,0,22,RENT,45630,E,2500,18.64,1,0.05,N,2,36
2387,VENTURE,2,23,RENT,51873,A,2500,7.29,0,0.05,N,3,60
2388,EDUCATION,,22,MORTGAGE,32000,A,11050,7.49,0,0.35,N,2,36
2389,DEBTCONSOLIDATION,6,26,RENT,52000,C,2500,14.82,0,0.05,Y,2,36
2390,VENTURE,1,24,RENT,46180,C,2500,13.98,1,0.05,Y,3,36
2391,PERSONAL,4,25,RENT,54000,C,2500,13.98,0,0.05,N,2,36
2392,EDUCATION,7,23,RENT,54000,D,2500,16.32,0,0.05,Y,2,60
2393,PERSONAL,3,25,MORTGAGE,32000,B,15000,11.11,0,0.47,N,4,60
2394,DEBTCONSOLIDATION,6,22,RENT,54996,C,2500,14.35,0,0.05,Y,4,36
2395,DEBTCONSOLIDATION,8,26,RENT,48996,D,2500,14.59,1,0.05,N,2,60
2396,PERSONAL,4,25,RENT,55000,A,2500,7.88,0,0.05,N,2,60
2397,EDUCATION,5,22,RENT,55000,B,2500,11.36,0,0.05,N,4,60
2398,DEBTCONSOLIDATION,1,23,RENT,49000,F,2500,10.25,1,0.05,N,2,60
2399,EDUCATION,8,24,RENT,57600,C,2500,14.72,0,0.04,Y,3,60
2400,PERSONAL,7,25,MORTGAGE,32000,B,3250,10.74,1,0.1,N,2,36
2401,PERSONAL,7,23,RENT,59000,D,2500,14.96,0,0.04,N,2,60
2402,DEBTCONSOLIDATION,5,22,RENT,60000,C,2500,11.12,0,0.04,Y,4,36
2403,PERSONAL,9,25,RENT,60000,A,2500,8.63,0,0.04,N,3,36
2404,DEBTCONSOLIDATION,3,23,RENT,61000,A,2500,7.49,0,0.04,N,3,36
2405,VENTURE,7,26,MORTGAGE,32000,C,4800,12.61,0,0.15,Y,3,36
2406,DEBTCONSOLIDATION,3,25,MORTGAGE,32000,B,6250,11.49,0,0.2,N,3,60
2407,EDUCATION,7,23,RENT,63000,C,2500,14.72,0,0.04,N,2,36
2408,MEDICAL,3,26,RENT,64000,B,2500,10.99,0,0.04,N,3,60
2409,MEDICAL,10,25,RENT,65004,B,2500,10.08,0,0.04,N,2,60
2410,DEBTCONSOLIDATION,3,24,RENT,69996,B,2500,12.53,0,0.04,N,3,36
2411,VENTURE,4,24,MORTGAGE,32000,B,3000,10.75,0,0.09,N,4,36
2412,MEDICAL,6,22,RENT,54400,D,2500,16.49,1,0.04,Y,3,36
2413,VENTURE,7,24,MORTGAGE,32000,A,4500,6.76,0,0.14,N,2,36
2414,HOMEIMPROVEMENT,4,24,RENT,64000,B,2500,11.14,1,0.04,N,3,60
2415,VENTURE,5,24,RENT,70082,C,2500,12.61,0,0.04,N,4,36
2416,HOMEIMPROVEMENT,8,24,RENT,79800,B,2500,9.62,0,0.03,N,2,60
2417,VENTURE,10,26,RENT,82400,C,2500,13.92,0,0.03,N,3,36
2418,EDUCATION,1,26,RENT,85000,A,2500,8.59,0,0.03,N,2,36
2419,VENTURE,6,23,RENT,92500,B,2500,10.74,0,0.03,N,3,36
2420,EDUCATION,6,24,MORTGAGE,32000,A,12250,8.94,0,0.38,N,4,36
2421,VENTURE,7,23,RENT,112995,A,2500,7.37,0,0.02,N,3,60
2422,EDUCATION,2,26,RENT,121000,A,2500,7.66,0,0.02,N,4,36
2423,MEDICAL,7,26,RENT,200004,C,2500,13.61,0,0.01,Y,2,60
2424,DEBTCONSOLIDATION,0,23,RENT,10560,B,2800,9.99,1,0.27,N,4,36
2425,PERSONAL,3,23,RENT,13000,D,2800,15.21,1,0.22,Y,2,36
2426,PERSONAL,0,25,RENT,13380,D,2800,14.61,1,0.21,Y,2,36
2427,VENTURE,5,22,RENT,14400,A,2800,6.54,1,0.19,N,3,60
2428,VENTURE,0,22,MORTGAGE,32000,A,6950,7.74,0,0.22,N,3,36
2429,DEBTCONSOLIDATION,5,21,RENT,14800,A,2800,8,1,0.19,N,3,60
2430,EDUCATION,1,26,RENT,15000,D,2800,15.31,1,0.19,Y,4,60
2431,VENTURE,4,23,MORTGAGE,32000,A,1200,7.68,0,0.04,N,4,36
2432,MEDICAL,0,21,RENT,15600,A,2800,7.4,1,0.18,N,4,36
2433,DEBTCONSOLIDATION,1,23,MORTGAGE,32000,B,15000,11.58,0,0.47,N,4,36
2434,HOMEIMPROVEMENT,0,25,RENT,20800,D,2800,15.21,1,0.13,Y,4,60
2435,PERSONAL,3,21,OWN,32000,E,4500,16,0,0.14,N,4,36
2436,VENTURE,3,24,RENT,21168,C,2800,14.22,0,0.13,Y,4,36
2437,MEDICAL,1,22,RENT,23000,F,2800,21.74,1,0.12,N,4,36
2438,DEBTCONSOLIDATION,2,23,RENT,23760,B,2800,12.92,0,0.12,N,2,36
2439,MEDICAL,2,23,RENT,24000,B,2800,11.49,1,0.12,N,4,36
2440,DEBTCONSOLIDATION,1,25,MORTGAGE,32000,C,8000,13.16,0,0.25,N,2,60
2441,DEBTCONSOLIDATION,5,21,MORTGAGE,32000,B,4200,11.58,0,0.13,N,2,60
2442,HOMEIMPROVEMENT,1,25,MORTGAGE,32000,A,2500,7.68,1,0.08,N,3,60
2443,MEDICAL,2,22,MORTGAGE,32000,C,7500,18.64,0,0.23,Y,3,36
2444,EDUCATION,1,23,RENT,26500,C,2800,12.29,0,0.11,N,3,36
2445,MEDICAL,3,22,RENT,27000,A,2800,7.51,1,0.1,N,3,36
2446,MEDICAL,1,22,OWN,32000,B,1200,9.96,0,0.04,N,2,36
2447,HOMEIMPROVEMENT,0,23,MORTGAGE,32000,D,2500,12.8,1,0.08,Y,3,36
2448,PERSONAL,5,23,RENT,28800,B,2800,10.38,0,0.1,N,2,36
2449,EDUCATION,1,22,RENT,29376,A,2800,7.43,0,0.1,N,4,36
2450,VENTURE,,26,RENT,30000,C,2800,14.65,0,0.09,Y,3,36
2451,MEDICAL,3,22,RENT,19200,C,2850,15.27,0,0.15,Y,4,36
2452,MEDICAL,,25,MORTGAGE,32004,A,7200,5.42,0,0.22,N,4,36
2453,PERSONAL,3,25,MORTGAGE,32004,A,22750,6.17,0,0.71,N,4,36
2454,MEDICAL,3,24,RENT,45000,D,2850,11.86,0,0.06,N,2,60
2455,EDUCATION,0,23,OWN,32004,E,9250,17.19,0,0.29,N,4,36
2456,VENTURE,5,22,RENT,90000,A,2850,5.99,0,0.03,N,3,60
2457,VENTURE,2,23,RENT,28000,C,2875,15.23,0,0.1,Y,3,60
2458,MEDICAL,1,25,RENT,36800,C,2875,11.28,0,0.08,Y,4,36
2459,EDUCATION,6,22,MORTGAGE,32004,A,10000,7.51,0,0.31,N,2,36
2460,DEBTCONSOLIDATION,0,26,RENT,66000,A,2875,7.49,0,0.04,N,2,36
2461,VENTURE,5,24,MORTGAGE,32004,C,14000,12.73,0,0.44,N,4,60
2462,PERSONAL,0,21,RENT,19000,A,2900,8,0,0.15,N,2,60
2463,MEDICAL,0,26,RENT,31200,B,2900,9.91,0,0.09,N,2,36
2464,DEBTCONSOLIDATION,3,22,RENT,31500,D,2900,7.51,1,0.09,N,4,60
2465,EDUCATION,0,25,RENT,50000,A,2900,8,0,0.06,N,4,36
2466,PERSONAL,5,22,RENT,27000,B,2925,10.71,0,0.11,N,4,36
2467,EDUCATION,6,22,MORTGAGE,32004,B,10000,10.83,0,0.31,N,3,36
2468,EDUCATION,0,22,OWN,32004,A,6600,9.07,0,0.21,N,3,60
2469,VENTURE,0,22,RENT,25000,B,2975,9.96,0,0.12,N,2,36
2470,EDUCATION,6,21,RENT,49800,A,2975,7.9,0,0.06,N,2,60
2471,PERSONAL,4,22,MORTGAGE,32112,C,15000,13.98,0,0.47,N,3,60
2472,PERSONAL,8,24,RENT,10000,A,3000,7.9,1,0.3,N,3,36
2473,EDUCATION,3,23,MORTGAGE,32198,B,1000,10.95,0,0.03,N,2,36
2474,EDUCATION,5,21,RENT,12000,A,3000,8.9,1,0.25,N,4,60
2475,VENTURE,0,21,RENT,12000,A,3000,7.88,1,0.25,N,3,36
2476,DEBTCONSOLIDATION,0,23,RENT,13200,C,3000,16.7,1,0.23,N,3,36
2477,MEDICAL,0,21,OWN,32268,A,8000,8,0,0.25,N,3,60
2478,VENTURE,4,23,RENT,14000,A,3000,7.74,1,0.21,N,3,60
2479,MEDICAL,2,21,RENT,14400,C,3000,13.43,1,0.21,Y,3,36
2480,HOMEIMPROVEMENT,6,22,MORTGAGE,32352,C,1000,15.27,1,0.03,Y,2,36
2481,HOMEIMPROVEMENT,2,21,RENT,14400,B,3000,9.63,1,0.21,N,2,36
2482,EDUCATION,0,23,MORTGAGE,32388,B,6000,10.71,0,0.19,N,4,60
2483,VENTURE,1,26,RENT,14400,B,3000,11.14,1,0.21,N,2,36
2484,EDUCATION,3,22,RENT,15000,B,3000,9.91,1,0.2,N,3,36
2485,VENTURE,2,22,RENT,15000,A,3000,7.51,1,0.2,N,4,60
2486,VENTURE,6,22,MORTGAGE,32400,B,4200,10.99,0,0.13,N,4,36
2487,PERSONAL,9,25,MORTGAGE,32400,C,10000,13.99,0,0.31,Y,3,36
2488,PERSONAL,,22,MORTGAGE,32400,A,5000,7.49,0,0.15,N,3,60
2489,DEBTCONSOLIDATION,2,25,MORTGAGE,32400,A,4800,7.29,0,0.15,N,4,36
2490,EDUCATION,6,22,MORTGAGE,32400,A,3625,6.92,0,0.11,N,3,36
2491,DEBTCONSOLIDATION,,23,RENT,16080,D,3000,16.29,1,0.19,Y,2,36
2492,EDUCATION,2,21,MORTGAGE,32400,A,10000,5.42,0,0.31,N,2,36
2493,HOMEIMPROVEMENT,0,22,RENT,16320,C,3000,13.92,1,0.18,Y,4,60
2494,HOMEIMPROVEMENT,0,26,RENT,17280,C,3000,18.3,1,0.17,N,4,36
2495,EDUCATION,0,25,RENT,17400,B,3000,11.83,1,0.17,N,4,36
2496,DEBTCONSOLIDATION,5,23,RENT,17520,B,3000,10.37,1,0.17,N,4,36
2497,MEDICAL,1,21,RENT,17916,A,3000,6,1,0.17,N,3,60
2498,HOMEIMPROVEMENT,1,23,RENT,18000,B,3000,11.71,1,0.17,N,4,36
2499,DEBTCONSOLIDATION,0,21,RENT,18000,A,3000,7.9,1,0.17,N,2,60
2500,DEBTCONSOLIDATION,1,22,MORTGAGE,32400,A,5500,10.62,0,0.17,N,2,36
2501,PERSONAL,5,21,MORTGAGE,32400,E,5000,16,1,0.15,N,2,60
2502,PERSONAL,5,24,RENT,18000,C,3000,15.27,1,0.17,Y,2,36
2503,HOMEIMPROVEMENT,1,23,RENT,18000,D,3000,15.99,1,0.17,Y,2,36
2504,MEDICAL,0,22,RENT,18000,C,3000,13.99,1,0.17,Y,4,60
2505,MEDICAL,5,26,MORTGAGE,32450,A,3250,6.99,0,0.1,N,4,60
2506,DEBTCONSOLIDATION,3,22,RENT,18000,B,3000,10.59,1,0.17,N,3,36
2507,PERSONAL,4,23,RENT,18000,C,3000,13.06,1,0.17,N,2,60
2508,VENTURE,2,22,RENT,18000,B,3000,11.99,1,0.17,N,2,60
2509,PERSONAL,1,22,RENT,18000,B,3000,11.86,1,0.17,N,2,60
2510,EDUCATION,3,25,MORTGAGE,32500,A,12500,7.9,0,0.38,N,4,60
2511,MEDICAL,1,21,RENT,18008,B,3000,9.7,1,0.17,N,2,60
2512,DEBTCONSOLIDATION,6,22,MORTGAGE,32500,A,2500,6.99,0,0.08,N,3,36
2513,HOMEIMPROVEMENT,0,21,RENT,18864,B,3000,10.99,1,0.16,N,4,36
2514,DEBTCONSOLIDATION,5,22,MORTGAGE,32500,B,14500,11.99,0,0.45,N,4,60
2515,VENTURE,5,22,RENT,19000,C,3000,13.06,1,0.16,N,2,36
2516,VENTURE,3,23,RENT,19200,C,3000,12.99,1,0.16,Y,2,36
2517,PERSONAL,0,23,RENT,19200,B,3000,9.99,1,0.16,N,3,36
2518,MEDICAL,6,24,MORTGAGE,32500,C,6600,12.73,0,0.2,N,4,60
2519,MEDICAL,8,26,MORTGAGE,32500,C,3000,13.22,0,0.09,N,4,36
2520,HOMEIMPROVEMENT,0,26,MORTGAGE,32500,A,3500,8.59,0,0.11,N,2,36
2521,PERSONAL,0,21,RENT,19200,B,3000,10.99,1,0.16,N,2,36
2522,HOMEIMPROVEMENT,0,22,RENT,19200,E,3000,9.63,1,0.16,Y,3,60
2523,EDUCATION,2,22,RENT,20000,C,3000,13.11,0,0.15,N,4,36
2524,EDUCATION,2,21,RENT,20004,B,3000,10.37,0,0.15,N,3,60
2525,VENTURE,3,24,RENT,20004,C,3000,18.25,0,0.15,N,4,36
2526,DEBTCONSOLIDATION,0,23,RENT,20800,B,3000,11.46,0,0.14,N,4,36
2527,VENTURE,6,25,MORTGAGE,32760,B,6000,10.59,0,0.18,N,2,60
2528,PERSONAL,3,26,RENT,21000,B,3000,10.59,0,0.14,N,2,36
2529,DEBTCONSOLIDATION,2,23,RENT,21000,C,3000,12.68,0,0.14,Y,2,60
2530,EDUCATION,2,22,RENT,21600,C,3000,13.49,0,0.14,N,3,36
2531,MEDICAL,2,21,MORTGAGE,32900,B,3000,9.99,0,0.09,N,2,60
2532,EDUCATION,6,22,OWN,32968,A,16500,8.9,0,0.5,N,4,60
2533,PERSONAL,3,24,RENT,22000,B,3000,10.33,0,0.14,N,2,36
2534,MEDICAL,3,22,RENT,22800,A,3000,6.62,0,0.13,N,3,36
2535,MEDICAL,4,22,RENT,23000,A,3000,5.79,0,0.13,N,2,60
2536,EDUCATION,0,24,RENT,23000,A,3000,8,0,0.13,N,3,60
2537,PERSONAL,6,22,OWN,33000,B,12000,9.91,0,0.36,N,2,60
2538,EDUCATION,2,24,RENT,30000,A,3000,6.03,0,0.1,N,3,36
2539,MEDICAL,6,22,RENT,30000,B,3000,14.84,0,0.1,N,4,36
2540,DEBTCONSOLIDATION,4,24,RENT,30000,E,3000,19.29,1,0.1,Y,2,36
2541,PERSONAL,2,24,RENT,30000,A,3000,7.49,0,0.1,N,3,60
2542,VENTURE,6,22,MORTGAGE,33000,B,8875,10.65,0,0.27,N,4,36
2543,VENTURE,2,23,RENT,30000,A,3000,7.49,0,0.1,N,2,60
2544,PERSONAL,1,24,RENT,30000,B,3000,10.37,0,0.1,N,2,36
2545,MEDICAL,0,23,RENT,30000,A,3000,5.79,0,0.1,N,3,36
2546,DEBTCONSOLIDATION,3,25,RENT,30000,C,3000,12.98,0,0.1,N,3,60
2547,MEDICAL,3,23,RENT,30000,D,3000,15.2,1,0.1,Y,2,36
2548,PERSONAL,5,21,RENT,30000,B,3000,9.62,0,0.1,N,4,36
2549,PERSONAL,3,25,RENT,30000,C,3000,13.61,0,0.1,N,2,36
2550,PERSONAL,3,22,RENT,30000,B,3000,11.12,0,0.1,N,3,60
2551,EDUCATION,4,21,RENT,30000,D,3000,16.32,0,0.1,Y,3,36
2552,MEDICAL,8,24,RENT,30000,B,3000,11.86,0,0.1,N,4,36
2553,DEBTCONSOLIDATION,1,24,RENT,30000,C,3000,13.98,1,0.1,Y,2,36
2554,MEDICAL,4,25,RENT,30000,B,3000,14.7,0,0.1,N,4,36
2555,PERSONAL,,21,OWN,33000,A,2500,6.03,0,0.08,N,4,36
2556,EDUCATION,6,25,MORTGAGE,33000,A,8000,6.62,0,0.24,N,4,36
2557,HOMEIMPROVEMENT,5,21,MORTGAGE,33000,C,2000,14.27,1,0.06,N,4,60
2558,HOMEIMPROVEMENT,4,25,RENT,30000,B,3000,12.21,1,0.1,N,4,36
2559,EDUCATION,2,21,RENT,30000,B,3000,11.89,0,0.1,N,4,36
2560,MEDICAL,9,25,MORTGAGE,33000,B,3000,11.99,0,0.09,N,2,36
2561,MEDICAL,5,24,RENT,30960,D,3000,15.62,0,0.1,N,4,36
2562,VENTURE,9,25,MORTGAGE,33000,A,5000,8.49,0,0.15,N,3,36
2563,MEDICAL,0,26,RENT,31131,D,3000,13.36,1,0.1,Y,4,36
2564,VENTURE,,26,OWN,33000,A,10150,8.49,0,0.31,N,2,60
2565,EDUCATION,3,22,RENT,31200,B,3000,11.86,0,0.1,N,4,36
2566,EDUCATION,2,23,RENT,31200,B,3000,11.89,0,0.1,N,2,36
2567,DEBTCONSOLIDATION,0,22,RENT,31356,A,3000,7.68,0,0.1,N,4,36
2568,PERSONAL,3,23,MORTGAGE,33000,D,8325,15.99,0,0.25,N,3,36
2569,PERSONAL,3,24,MORTGAGE,33000,E,1250,19.29,0,0.04,N,4,36
2570,EDUCATION,4,23,MORTGAGE,33000,A,8000,7.49,0,0.24,N,3,36
2571,DEBTCONSOLIDATION,3,25,RENT,32000,A,3000,8.94,0,0.09,N,3,60
2572,MEDICAL,4,24,RENT,32000,C,3000,12.29,0,0.09,Y,2,36
2573,HOMEIMPROVEMENT,8,24,MORTGAGE,33000,C,2050,13.49,1,0.06,N,2,36
2574,DEBTCONSOLIDATION,0,25,RENT,32004,A,3000,9.32,0,0.09,N,2,60
2575,VENTURE,6,23,RENT,32400,B,3000,10,0,0.09,N,2,36
2576,PERSONAL,5,22,RENT,32400,E,3000,16.45,0,0.09,N,3,36
2577,VENTURE,7,26,RENT,32640,B,3000,10.75,0,0.09,N,2,36
2578,MEDICAL,7,26,RENT,33000,A,3000,5.99,0,0.09,N,4,36
2579,DEBTCONSOLIDATION,5,22,MORTGAGE,33000,A,12375,7.29,0,0.38,N,2,36
2580,VENTURE,3,25,RENT,33000,A,3000,5.99,0,0.09,N,2,60
2581,PERSONAL,6,25,RENT,33000,B,3000,10.95,0,0.09,N,4,36
2582,EDUCATION,4,26,RENT,33189,B,3000,11.12,0,0.09,N,2,36
2583,VENTURE,5,23,RENT,34008,B,3000,10,0,0.09,N,4,60
2584,DEBTCONSOLIDATION,3,22,RENT,34500,B,3000,11.83,0,0.09,N,2,36
2585,MEDICAL,9,25,RENT,29000,A,3000,6.62,1,0.1,N,2,36
2586,EDUCATION,0,22,RENT,35000,B,3000,16.02,0,0.09,N,2,36
2587,PERSONAL,4,23,RENT,35000,C,3000,13.85,0,0.09,N,3,36
2588,EDUCATION,5,22,RENT,35000,B,3000,10.01,0,0.09,N,2,60
2589,DEBTCONSOLIDATION,0,22,RENT,29244,D,3000,13.3,1,0.1,Y,2,36
2590,DEBTCONSOLIDATION,2,24,RENT,35256,B,3000,10.74,0,0.09,N,2,60
2591,PERSONAL,0,22,RENT,36000,B,3000,11.71,0,0.08,N,3,60
2592,MEDICAL,0,23,RENT,36000,A,3000,7.29,0,0.08,N,3,36
2593,EDUCATION,3,26,RENT,36000,A,3000,7.88,0,0.08,N,4,36
2594,EDUCATION,0,24,RENT,36000,C,3000,13.92,0,0.08,Y,3,36
2595,DEBTCONSOLIDATION,2,23,MORTGAGE,33000,C,3000,14.35,0,0.09,Y,3,36
2596,DEBTCONSOLIDATION,4,24,RENT,36600,B,3000,9.33,0,0.08,N,2,36
2597,MEDICAL,2,25,RENT,37000,B,3000,11.71,0,0.08,N,2,36
2598,PERSONAL,5,21,MORTGAGE,33000,B,7800,9.88,0,0.24,N,2,60
2599,EDUCATION,0,21,RENT,37000,A,3000,6.39,0,0.08,N,3,36
2600,HOMEIMPROVEMENT,1,25,RENT,31000,B,3000,15.37,1,0.1,N,4,36
2601,EDUCATION,2,24,RENT,38000,C,3000,13.06,0,0.08,N,4,60
2602,DEBTCONSOLIDATION,5,21,RENT,38000,A,3000,7.05,0,0.08,N,4,36
2603,EDUCATION,0,22,RENT,38000,C,3000,10.28,0,0.08,N,3,36
2604,EDUCATION,4,22,MORTGAGE,33000,C,12500,14.26,0,0.38,N,2,36
2605,MEDICAL,0,24,MORTGAGE,33000,A,8125,8.59,0,0.25,N,4,60
2606,EDUCATION,4,25,MORTGAGE,33000,A,4400,8,0,0.13,N,3,36
2607,PERSONAL,8,24,RENT,38400,E,3000,17.56,0,0.08,Y,2,60
2608,PERSONAL,2,25,RENT,38748,A,3000,7.29,0,0.08,N,3,36
2609,VENTURE,3,24,MORTGAGE,33000,C,4000,13.04,0,0.12,N,4,36
2610,MEDICAL,2,26,RENT,33000,B,3000,11.49,1,0.09,N,3,36
2611,PERSONAL,4,22,RENT,39996,C,3000,14.35,0,0.08,Y,3,36
2612,PERSONAL,10,26,MORTGAGE,33000,A,7000,7.43,0,0.21,N,4,36
2613,EDUCATION,2,23,OWN,33012,B,12200,10.99,0,0.37,N,4,60
2614,PERSONAL,2,23,RENT,40000,C,3000,13.49,0,0.07,N,3,36
2615,PERSONAL,1,24,RENT,40000,B,3000,10.74,0,0.07,N,3,36
2616,DEBTCONSOLIDATION,,23,MORTGAGE,33098,D,9000,16.29,1,0.27,Y,3,36
2617,VENTURE,0,21,RENT,40000,A,3000,10.99,0,0.07,N,3,60
2618,PERSONAL,6,21,MORTGAGE,33168,B,6425,9.63,0,0.19,N,3,36
2619,MEDICAL,2,25,RENT,40000,B,3000,10.25,0,0.07,N,2,36
2620,MEDICAL,1,24,RENT,40000,C,3000,14.22,0,0.07,N,4,36
2621,DEBTCONSOLIDATION,2,22,RENT,37000,E,3000,20.3,1,0.08,N,2,60
2622,EDUCATION,1,23,RENT,43000,A,3000,8.49,0,0.07,N,4,36
2623,DEBTCONSOLIDATION,6,22,RENT,37000,B,3000,11.11,1,0.08,N,2,36
2624,EDUCATION,7,23,RENT,37000,B,3000,10.75,1,0.08,N,4,36
2625,PERSONAL,3,25,RENT,43200,C,3000,13.8,0,0.07,Y,3,36
2626,EDUCATION,4,22,RENT,43200,C,3000,13.72,0,0.07,Y,3,60
2627,EDUCATION,0,22,RENT,43500,A,3000,5.42,0,0.07,N,3,60
2628,PERSONAL,1,24,RENT,43500,A,3000,8,0,0.07,N,2,36
2629,VENTURE,5,21,MORTGAGE,33280,C,11200,13.92,1,0.34,N,4,36
2630,MEDICAL,7,23,RENT,43949,B,3000,11.49,0,0.07,N,3,36
2631,MEDICAL,2,23,RENT,44000,B,3000,9.25,0,0.07,N,3,36
2632,VENTURE,2,23,OWN,33300,C,9000,13.57,0,0.27,Y,4,36
2633,VENTURE,4,25,MORTGAGE,33316,A,5000,6.54,0,0.15,N,2,60
2634,VENTURE,4,24,OWN,33321,C,12250,13.11,0,0.37,Y,4,36
2635,DEBTCONSOLIDATION,6,24,MORTGAGE,33360,B,6000,10.59,0,0.18,N,3,60
2636,HOMEIMPROVEMENT,7,24,MORTGAGE,33360,A,2500,7.14,0,0.07,N,3,60
2637,MEDICAL,4,25,RENT,45000,A,3000,7.9,0,0.07,N,4,60
2638,HOMEIMPROVEMENT,4,24,MORTGAGE,33390,A,10000,7.9,0,0.3,N,4,60
2639,MEDICAL,8,24,RENT,45000,A,3000,7.49,0,0.07,N,4,36
2640,DEBTCONSOLIDATION,1,24,RENT,45000,B,3000,9.99,0,0.07,N,4,36
2641,PERSONAL,3,22,RENT,45000,B,3000,11.99,0,0.07,N,4,36
2642,EDUCATION,11,26,RENT,39000,C,3000,10.99,1,0.08,Y,2,60
2643,MEDICAL,0,24,RENT,39000,D,3000,14.61,1,0.08,Y,4,60
2644,EDUCATION,2,22,RENT,45000,A,3000,11.48,0,0.07,N,3,60
2645,VENTURE,4,24,RENT,45000,A,3000,9.32,0,0.07,N,2,36
2646,MEDICAL,5,21,RENT,39327,D,3000,13.67,1,0.08,N,2,60
2647,MEDICAL,3,23,MORTGAGE,33600,A,4200,14.26,0,0.13,N,3,60
2648,EDUCATION,2,24,RENT,39996,C,3000,8,1,0.08,Y,3,60
2649,MEDICAL,9,25,MORTGAGE,33600,A,7125,7.51,0,0.21,N,3,36
2650,MEDICAL,1,22,OWN,33600,D,5000,18.25,0,0.15,N,2,36
2651,PERSONAL,3,24,MORTGAGE,33600,A,2500,8.9,0,0.07,N,2,60
2652,EDUCATION,,24,RENT,40000,D,3000,17.27,1,0.07,N,2,60
2653,MEDICAL,2,25,RENT,46250,A,3000,11.26,0,0.06,N,3,60
2654,PERSONAL,8,23,MORTGAGE,33600,A,8000,6.99,0,0.24,N,2,36
2655,EDUCATION,3,22,RENT,47000,A,3000,6.62,0,0.06,N,2,36
2656,PERSONAL,2,21,RENT,47208,C,3000,13.92,0,0.06,Y,2,36
2657,VENTURE,9,25,OWN,33600,A,9750,16.32,0,0.29,N,3,60
2658,VENTURE,8,26,RENT,47500,A,3000,6.76,0,0.06,N,2,36
2659,DEBTCONSOLIDATION,,23,MORTGAGE,33600,C,4000,14.79,0,0.12,N,2,60
2660,DEBTCONSOLIDATION,9,24,RENT,42000,E,3000,17.93,1,0.07,Y,3,36
2661,VENTURE,,24,MORTGAGE,33600,A,12000,5.42,0,0.36,N,2,60
2662,DEBTCONSOLIDATION,2,25,RENT,48000,A,3000,11.36,0,0.06,N,4,36
2663,PERSONAL,0,22,RENT,48000,C,3000,14.79,0,0.06,N,2,36
2664,EDUCATION,0,25,RENT,48000,C,3000,13.47,0,0.06,Y,4,60
2665,EDUCATION,2,21,RENT,48000,B,3000,9.76,0,0.06,N,4,36
2666,MEDICAL,4,26,RENT,48000,B,3000,10.14,0,0.06,N,3,36
